Pin,Assembly,Pin name,Notes,GPIO,Ball
1,no EC,ENET_TX_CTL,"Referenced to pin 36 supply (1.8V/3.3V);
On some SOM modules this pin is GND; If placed in such carrier with no ""EC"" configuration define PAD as input!",GPIO1_IO22,SOC.AF24
1,EC,NC,"With ""EC"" configuration this pin in Not Connected",,NC_EC
2,,GND,Digital Ground ,,GND
3,no EC,ENET_TD3,Referenced to pin 36 supply (1.8V/3.3V),GPIO1_IO18,SOC.AD24
3,EC,ETH0_MDI_A_P,Signal source is Ethernet PHY,,"AR8033.11/
ADIN1300.12"
4,no EC,ENET_RD0,Referenced to pin 36 supply (1.8V/3.3V),GPIO1_IO26,SOC.AG29
4,EC,ETH0_MDI_C_P,Signal source is Ethernet PHY,,"AR8033.17/
ADIN1300.16"
5,no EC,ENET_TD2,Referenced to pin 36 supply (1.8V/3.3V),GPIO1_IO19,SOC.AF26
5,EC,ETH0_MDI_A_M,Signal source is Ethernet PHY,,"AR8033.12/
ADIN1300.13"
6,no EC,ENET_RD1,Referenced to pin 36 supply (1.8V/3.3V),GPIO1_IO27,SOC.AG28
6,EC,ETH0_MDI_C_M,Signal source is Ethernet PHY,,"AR8033.18/
ADIN1300.17"
7,,GND,Digital Ground ,,GND
8,,GND,Digital Ground ,,GND
9,no EC,ENET_TD1,Referenced to pin 36 supply (1.8V/3.3V),GPIO1_IO20,SOC.AE26
9,,ETH0_MDI_B_P,,,"AR8033.14/
ADIN1300.14"
10,no EC,ENET_RD2,Referenced to pin 36 supply (1.8V/3.3V),GPIO1_IO28,SOC.AF29
10,EC,ETH0_MDI_D_P,Signal source is Ethernet PHY,,"AR8033.20/
ADIN1300.18"
11,no EC,ENET_TD0,Referenced to pin 36 supply (1.8V/3.3V),GPIO1_IO21,SOC.AC25
11,EC,ETH0_MDI_B_M,Signal source is Ethernet PHY,,"AR8033.15/
ADIN1300.15"
12,no EC,ENET_RD3,Referenced to pin 36 supply (1.8V/3.3V),GPIO1_IO29,SOC.AF28
12,EC,ETH0_MDI_D_M,Signal source is Ethernet PHY,,"AR8033.21/
ADIN1300.19"
13,,GND,Digital Ground ,,GND
14,,GND,Digital Ground ,,GND
15,no EC,ENET_RX_CTL,Referenced to pin 36 supply (1.8V/3.3V),GPIO1_IO24,SOC.AE28
15,EC,ETH0_LED_ACT,Signal source is Ethernet PHY,,"AR8033.23/
ADIN1300.21"
16,no EC,ENET_RXC,"Referenced to pin 36 supply (1.8V/3.3V);
Includes series EMI filter",GPIO1_IO25,SOC.AE29
16,EC,ETH0_LED_LINK_10_100_1000,Signal source is Ethernet PHY,,"AR8033.24_26/
ADIN1300.26 via inverting FET"
17,,SPDIF_EXT_CLK,,GPIO5_IO05,SOC.AC18
18,no AC,SAI3_TXD,"Available in SOM without ""AC” configuration",GPIO5_IO01,SOC.AH18
18,AC,DMIC_CLK,Signal source is Audio Codec,,WM8904.1
19,,GND,Digital Ground ,,GND
20,no AC,SAI3_MCLK,"Available in SOM without ""AC” configuration",GPIO5_IO02,SOC.AJ20
20,AC,DMIC_DATA,Signal source is Audio Codec,,WM8904.27
21,,SAI2_RXD0,,GPIO4_IO23,SOC.AJ14
22,,SAI2_RXC,,GPIO4_IO22,SOC.AJ16
23,,SAI2_RXFS,,GPIO4_IO21,SOC.AH17
24,,SAI2_TXFS,,GPIO4_IO24,SOC.AJ17
25,,SAI2_TXC,,GPIO4_IO25,SOC.AH15
26,,SAI2_TXD0,,GPIO4_IO26,SOC.AH16
27,,GND,Digital Ground ,,GND
28,,GND,Digital Ground ,,GND
